params,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced'}",0.9493142073051493,0.000935447423066112,0.5281862901518932,0.004733646867990884,1,69.24962123235066
"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced'}",0.9776460129144499,0.0011918387799733767,0.5250282990843775,0.00586658265065459,2,69.44717661539714
"{'classifier__C': 2.0, 'classifier__class_weight': 'balanced'}",0.990399197614606,0.0005249811440788152,0.5212505411979944,0.004723416453315414,3,98.00831906000774
"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced'}",0.8097946233707249,0.00038545598746495636,0.5199743977760712,0.004920461909980783,4,41.45136443773905
"{'classifier__C': 5.0, 'classifier__class_weight': 'balanced'}",0.996511879369462,0.0004103121758191601,0.5156616594462528,0.003817964224712293,5,61.404134353001915
"{'classifier__C': 1.0, 'classifier__class_weight': None}",0.9751660736508857,0.00032013479597217854,0.5133263133001398,0.005168155569190815,6,49.26116387049357
"{'classifier__C': 2.0, 'classifier__class_weight': None}",0.989476529613151,0.000586169151109324,0.5118830234083043,0.003962997401045198,7,85.91880345344543
"{'classifier__C': 5.0, 'classifier__class_weight': None}",0.9967349508911045,0.0002690068963502521,0.5098644165422236,0.003385566426928933,8,88.83367721239726
"{'classifier__C': 0.5, 'classifier__class_weight': None}",0.9379887439349277,0.000904652409759719,0.509112871659199,0.006383447741671168,9,71.6018656094869
"{'classifier__C': 0.1, 'classifier__class_weight': None}",0.6611500356430403,0.0008534286181537094,0.4653566120565791,0.006905613031765432,10,51.789519468943276
