params,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time
"{'classifier__C': 0.05, 'classifier__class_weight': 'balanced'}",0.9275605939225567,0.0012675417640180544,0.5227079011332653,0.005707841254817919,1,18.81582697232564
"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced'}",0.9702376875432823,0.0004883679709401526,0.5218636981753431,0.005910917121481192,2,18.924627939860027
"{'classifier__C': 0.5, 'classifier__class_weight': 'balanced'}",0.9957991804060334,0.00019299299121321067,0.5103734171910217,0.004409959676416375,3,20.40403405825297
"{'classifier__C': 0.1, 'classifier__class_weight': None}",0.965361684433101,0.0002050335525058327,0.5098551695253554,0.005753030267767111,4,17.834977388381958
"{'classifier__C': 0.5, 'classifier__class_weight': None}",0.9956530831999112,0.00017036099795455297,0.5054677843439719,0.004135931125594657,5,20.486502011617024
"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced'}",0.9975713621137209,0.00016506243011724607,0.5035613196980722,0.004402595351157082,6,24.482602039972942
"{'classifier__C': 0.01, 'classifier__class_weight': 'balanced'}",0.7642196157663063,0.0022101258401813627,0.5019810000915597,0.0054255961068391916,7,18.796567519505818
"{'classifier__C': 1.0, 'classifier__class_weight': None}",0.9975421179237429,0.00013496298374337566,0.5010230469269542,0.0035936708831391414,8,20.847824811935425
"{'classifier__C': 0.05, 'classifier__class_weight': None}",0.9063699758840201,0.0014542352684872397,0.4994442848977448,0.0063190374250306665,9,18.829941272735596
"{'classifier__C': 2.0, 'classifier__class_weight': 'balanced'}",0.9983283440797184,2.06964807511179e-05,0.4960793491857709,0.004071745228822455,10,27.715107917785645
"{'classifier__C': 2.0, 'classifier__class_weight': None}",0.9983096648906727,6.047591500319621e-05,0.49497408796659154,0.004445390783719097,11,27.773623943328857
"{'classifier__C': 5.0, 'classifier__class_weight': 'balanced'}",0.9987208358000688,1.2246467807081929e-05,0.4878597402510169,0.0030264091282412474,12,22.218238671620686
"{'classifier__C': 5.0, 'classifier__class_weight': None}",0.9987492505034342,2.0029630394094185e-05,0.48666537060930376,0.00377402844453745,13,22.759672164916992
"{'classifier__C': 0.01, 'classifier__class_weight': None}",0.5996726488110027,0.0008114035108206701,0.4554730493657144,0.005274746741800247,14,18.575372060139973
